OUT_ID	B11	B110	B111	B12	B13	B14	B15	B16	B17	B18	B19	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BR11	BR12	BR13	BR14	BR15	BR16	BR17	BR18	BR21	BR22	BR23	BR24	BR25	BR26	BR27	BR28	BT21	BT22	BT23	BT24	BT25	BT26	BT27	BT31	BT32	BT33	BT34	BT35	BT36	BT37
c__Clostridia;o__SHA-98;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae	211	165	232	4100	3459	4477	1455	1979	2330	587	199	40	4833	9344	7255	3391	524	160	49	17755	15135	12850	1980	1507	554	504	36	10391	19709	12008	3935	2651	1238	857	140	8239	7570	5151	6046	751	673	92	1317	1326	983	761	876	382
f__Fusobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Victivallaceae	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0
o__Phycisphaerales;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;o__RF32;f__	288	0	0	0	0	0	0	0	0	0	0	252	116	96	41	20	0	0	89	0	0	0	0	0	0	0	73	61	26	34	0	0	0	0	86	20	66	31	82	13	0	155	72	75	0	23	0	0
f__mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Betaproteobacteria;o__ASSO-13;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Burkholderiales;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	47	21	0	0	0	3
f__Alcaligenaceae	485	710	557	683	817	906	358	727	890	945	850	209	772	610	1187	1999	1620	1189	822	475	664	514	479	267	291	0	558	600	642	837	359	325	116	104	409	1228	1166	2217	2473	882	691	545	1179	1122	2495	1834	2016	1525
f__Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	36	0
f__Oxalobacteraceae	15	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	12	0	0	0
f__Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Desulfovibrionaceae	325	0	6	0	0	15	10	19	0	0	0	459	109	156	205	116	41	29	351	0	92	98	43	10	17	21	420	119	212	229	70	31	53	19	407	32	37	34	45	12	11	392	154	201	164	209	104	58
f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	170	470	1940	0	0	0	16	245	98	432	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Enterobacteriaceae	153	34	0	160	192	114	122	208	119	0	0	233	23	17	29	0	32	121	311	570	1274	1599	1171	847	460	299	236	1016	2400	3390	1750	1133	745	700	51	57	66	38	53	28	33	266	86	71	48	76	152	96
f__Pasteurellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	31	0	0	0	0	0	0
f__Moraxellaceae	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	8	11	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	10	0	0	6	0	0	0	5	4	0
k__Bacteria;p__TM7;c__TM7-3;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Mollicutes;o__RF39;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Tenericutes;c__RF3;o__ML615J-28;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Cerasicoccaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Verrucomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	938	0	0	94	83	63	24	669	43	0	151	74	42	17	33	400	49	0	0	20	0	0	5	144	0	28	0	13	0	0	505	67	35	104	113	140	49
